Step,L1_loss
1,0.0694484487175941
2,0.0797441154718399
3,0.083552286028862
4,0.0942780226469039
5,0.0693261325359344
6,0.0638993233442306
7,0.0881515741348266
8,0.0479580722749233
9,0.0676180571317672
10,0.0713017284870147
11,0.0684852749109268
12,0.0781487077474594
13,0.0624764934182167
14,0.0734543800354003
15,0.0650429651141166
16,0.1286489367485046
17,0.0583317056298255
18,0.0782888382673263
19,0.0769564807415008
20,0.0534279495477676
21,0.0925050377845764
22,0.0780535787343978
23,0.0655783861875534
24,0.0708267539739608
25,0.0967735201120376
26,0.051186703145504
27,0.0414829365909099
28,0.0661915093660354
29,0.064869686961174
30,0.0650286078453064
31,0.0740295499563217
32,0.0855761915445327
33,0.0753055214881897
34,0.0801930725574493
35,0.0840782225131988
36,0.075414702296257
37,0.072705328464508
38,0.0984295308589935
39,0.0581199452280998
40,0.074785977602005
41,0.0609438978135585
42,0.0896395221352577
43,0.087384432554245
44,0.0648722574114799
45,0.1071630269289016
46,0.0623637251555919
47,0.0839087069034576
48,0.0737085491418838
49,0.1012553945183754
50,0.0820077061653137
51,0.0880255177617073
52,0.0857192426919937
53,0.0592646114528179
54,0.0675704106688499
55,0.0863326340913772
56,0.0743362754583358
57,0.0618257112801075
58,0.0525670275092124
59,0.0813063383102417
60,0.0712083727121353
61,0.0576549842953681
62,0.0624819062650203
63,0.0701046586036682
64,0.0523476377129554
65,0.0824198573827743
66,0.0562250614166259
67,0.0728262662887573
68,0.0643820315599441
69,0.0837611705064773
70,0.1600672304630279
71,0.0364130139350891
72,0.0769052058458328
73,0.0705435797572135
74,0.0461129322648048
75,0.0516386665403842
76,0.0711057633161544
77,0.0839041918516159
78,0.1012057587504386
79,0.0757644325494766
80,0.0680828392505645
81,0.063372865319252
82,0.0969354957342147
83,0.0622877478599548
84,0.0676057264208793
85,0.0821935757994651
86,0.0913440138101577
87,0.0744810402393341
88,0.0506084412336349
89,0.0607281550765037
90,0.0837329775094986
91,0.052515972405672
92,0.0789076313376426
93,0.1040632128715515
94,0.09467264264822
95,0.0909243002533912
96,0.0725006237626075
97,0.0491612181067466
98,0.0866435319185257
99,0.0851555541157722
100,0.0677696466445922
101,0.0639251172542572
102,0.0870427936315536
103,0.0608306489884853
104,0.0812680423259735
105,0.0504356250166893
106,0.0534804947674274
107,0.0446943305432796
108,0.0685773342847824
109,0.0930239781737327
110,0.0726503804326057
111,0.0765434727072715
112,0.0843364298343658
113,0.1136666685342788
114,0.0843639224767685
115,0.052474595606327
116,0.0624691024422645
117,0.0476116389036178
118,0.0538973435759544
119,0.0619715899229049
120,0.0823402479290962
121,0.110297605395317
122,0.0720027834177017
123,0.060947299003601
124,0.0641912147402763
125,0.0711398348212242
126,0.0529621876776218
127,0.093120589852333
128,0.0963059216737747
129,0.0989362150430679
130,0.0676779970526695
131,0.0692664682865142
132,0.0728059336543083
133,0.048244908452034
134,0.0555807724595069
135,0.0551029443740844
136,0.0604753158986568
137,0.0573161207139492
138,0.0519304312765598
139,0.0461122170090675
140,0.07839035987854
141,0.0610937140882015
142,0.0596549250185489
143,0.0636855661869049
144,0.0687942802906036
145,0.0516308769583702
146,0.0636281967163086
147,0.0730041712522506
148,0.0489581488072872
149,0.0683249533176422
150,0.0758652687072753
151,0.0687321722507476
152,0.0673650354146957
153,0.071170724928379
154,0.1109633669257164
155,0.0612512975931167
156,0.0687111020088195
157,0.0669689700007438
158,0.0843676254153251
159,0.0601885691285133
160,0.0645490363240242
161,0.0671088248491287
162,0.0618534013628959
163,0.0626235157251358
164,0.0993277728557586
165,0.0871805846691131
166,0.0600430369377136
167,0.0946928113698959
168,0.057085283100605
169,0.0740010440349578
170,0.0964448675513267
171,0.0837216898798942
172,0.0642945393919944
173,0.0693622529506683
174,0.1055988073348999
175,0.0783828198909759
176,0.0707189366221427
177,0.0650936663150787
178,0.0685293972492218
179,0.0633424520492553
180,0.0703170821070671
181,0.0704835057258606
182,0.078680045902729
183,0.0359864681959152
184,0.0770695358514785
185,0.0938472002744674
186,0.0649167224764823
187,0.0596100986003875
188,0.0978255197405815
189,0.1316977739334106
190,0.0618290044367313
191,0.0467225648462772
192,0.0823129266500473
193,0.0948674008250236
194,0.0512117072939872
195,0.0679500997066497
196,0.0655119717121124
197,0.0383375138044357
198,0.0991351306438446
199,0.092415764927864
200,0.0781736522912979
201,0.1104182749986648
202,0.0569085069000721
203,0.0772772282361984
204,0.0639066249132156
