Step,loss_L1_rank_8
1,0.0722474604845047
2,0.0896302610635757
3,0.0825271904468536
4,0.0718170255422592
5,0.0692128539085388
6,0.0609187856316566
7,0.1064263954758644
8,0.055691048502922
9,0.0611055344343185
10,0.0823511481285095
11,0.0785159021615982
12,0.0837152749300003
13,0.0664562061429023
14,0.0584978386759758
15,0.0573810711503028
16,0.131424069404602
17,0.0569960884749889
18,0.088671863079071
19,0.0691452696919441
20,0.054749384522438
21,0.1042913049459457
22,0.0729690864682197
23,0.0677661299705505
24,0.0725336521863937
25,0.0799660310149192
26,0.0569053292274475
27,0.041625328361988
28,0.0524902939796447
29,0.0697547495365142
30,0.0753499940037727
31,0.0735629647970199
32,0.0873882472515106
33,0.0767717063426971
34,0.069101832807064
35,0.0893334597349166
36,0.0761321485042572
37,0.0994670465588569
38,0.1039773076772689
39,0.0595988184213638
40,0.0670883357524871
41,0.0603730157017707
42,0.0994312763214111
43,0.0756606757640838
44,0.0513318665325641
45,0.0829048603773117
46,0.070981964468956
47,0.0661602392792701
48,0.071623794734478
49,0.1060743033885955
50,0.0889787375926971
51,0.0996128842234611
52,0.0852944254875183
53,0.0572064146399498
54,0.069114863872528
55,0.0821609646081924
56,0.062159314751625
57,0.0581715628504753
58,0.0458881966769695
59,0.075398288667202
60,0.0626829415559768
61,0.0541801564395427
62,0.0759641081094741
63,0.0735029727220535
64,0.0554952025413513
65,0.071738563477993
66,0.0542484447360038
67,0.0676958113908767
68,0.0662220567464828
69,0.1040097251534462
70,0.1236126571893692
71,0.0351472496986389
72,0.0706252455711364
73,0.062373898923397
74,0.0600986704230308
75,0.0507197268307209
76,0.0692396461963653
77,0.0740016847848892
78,0.0840081423521041
79,0.0751034170389175
80,0.0644331201910972
81,0.0551099926233291
82,0.1083084940910339
83,0.0535201281309127
84,0.0622044578194618
85,0.0781774371862411
86,0.0837733820080757
87,0.0662262141704559
88,0.0561430230736732
89,0.0547776892781257
90,0.0712412446737289
91,0.0515511222183704
92,0.0762817412614822
93,0.1056858897209167
94,0.102335125207901
95,0.0934825167059898
96,0.0838712230324745
97,0.0525478720664978
98,0.0797739177942276
99,0.0825599133968353
100,0.0804415196180343
101,0.0603002533316612
