Step,MSE_loss
1,0.024795327335596
2,0.0277770534157753
3,0.0316776856780052
4,0.0355819165706634
5,0.0235671028494834
6,0.0180804748088121
7,0.0378961712121963
8,0.0145349279046058
9,0.0208014901727437
10,0.0239468626677989
11,0.0233432725071907
12,0.0264069996774196
13,0.0208749659359455
14,0.0240080989897251
15,0.0217480231076478
16,0.0662645921111106
17,0.0170676186680793
18,0.0293418429791927
19,0.0280144922435283
20,0.014304494485259
21,0.0390655882656574
22,0.0307421740144491
23,0.0240214355289936
24,0.0219854861497879
25,0.0406511090695858
26,0.0140770208090543
27,0.0104012470692396
28,0.0176752489060163
29,0.020195972174406
30,0.0217499416321516
31,0.0252104792743921
32,0.0338055416941642
33,0.0278422348201274
34,0.0328080430626869
35,0.0357663072645664
36,0.0231403149664402
37,0.0330211892724037
38,0.040488488972187
39,0.0178919434547424
40,0.0270884130150079
41,0.0185481458902359
42,0.0351757556200027
43,0.0348120853304863
44,0.0207059532403945
45,0.0571531392633914
46,0.0182393752038478
47,0.0306725781410932
48,0.0252023786306381
49,0.043915070593357
50,0.0344209112226963
51,0.0433363281190395
52,0.0335058122873306
53,0.0202012583613395
54,0.0217153653502464
55,0.0388170219957828
56,0.0261142794042825
57,0.0208205021917819
58,0.0162483882158994
59,0.0319378487765789
60,0.0254548639059066
61,0.0137642361223697
62,0.0223576202988624
63,0.0247158929705619
64,0.0133416494354605
65,0.0314459763467311
66,0.0163032691925764
67,0.0264044348150491
68,0.0214567966759204
69,0.0348176881670951
70,0.1088369935750961
71,0.0089549142867326
72,0.0274361614137887
73,0.0229896623641252
74,0.0126073416322469
75,0.015357781201601
76,0.0211275462061166
77,0.031016606837511
78,0.038072757422924
79,0.0294743794947862
80,0.0218444783240556
81,0.0168269369751214
82,0.040754597634077
83,0.0209133308380842
84,0.021541241556406
85,0.0351122468709945
86,0.037615917623043
87,0.0228143483400344
88,0.0120782349258661
89,0.0199056528508663
90,0.0340606160461902
91,0.0166031140834093
92,0.0288784559816122
93,0.0436960197985172
94,0.036572128534317
95,0.0353024154901504
96,0.0302312187850475
97,0.0166240110993385
98,0.032952070236206
99,0.0321218185126781
100,0.022709384560585
101,0.021230012178421
102,0.0379772186279296
103,0.0215224958956241
104,0.0298079252243042
105,0.0138081815093755
106,0.0143478121608495
107,0.012026323005557
108,0.0219876766204834
109,0.0374410301446914
110,0.0244350880384445
111,0.0300246905535459
112,0.0356653854250907
113,0.0513105764985084
114,0.0337849594652652
115,0.0155715402215719
116,0.0209264233708381
117,0.0132246566936373
118,0.0144517011940479
119,0.0198445040732622
120,0.0322875902056694
121,0.0562682338058948
122,0.0253288075327873
123,0.019457658752799
124,0.0203988794237375
125,0.0258297491818666
126,0.0165958888828754
127,0.0381647199392318
128,0.0375491753220558
129,0.0376834236085414
130,0.0236954148858785
131,0.0263085775077343
132,0.0263266451656818
133,0.0127055160701274
134,0.0155162699520587
135,0.0181650854647159
136,0.0181201193481683
137,0.0176390875130891
138,0.0141022773459553
139,0.0101668685674667
140,0.0273985490202903
141,0.0183032602071762
142,0.0195934139192104
143,0.0217784475535154
144,0.0241224430501461
145,0.0152625180780887
146,0.0234712548553943
