Epoch,L1_loss,MSE_loss,SNR_loss
1,0.07504783459007736,0.028258617315441322,0.01971526288294362
2,0.07108130907373764,0.025361316118921503,0.019237238574506932
3,0.07346779927611347,0.027263695214475858,0.020288651516394907
4,0.06916819257395604,0.02483381918365397,0.0186139575471835
5,0.06909705443041661,0.024519212690315026,0.018044483568519308
6,0.06802634916135238,0.02466611487657892,0.01797017832951881
7,0.06659963636526035,0.02310320522103986,0.018045043685872588
8,0.07078929011310844,0.026941988919861565,0.01787415536985328
9,0.06976144452180177,0.02527844756841655,0.01819081593171822
10,0.06705133893660133,0.02329813251271839,0.018714346071439084
11,0.06527372710406776,0.02223132259345476,0.017618544649199666
12,0.0715239749955279,0.02598318464255754,0.018024487354393468
13,0.0684577865792172,0.024108659515955567,0.01915802291727487
14,0.06783292873629497,0.02367041091035515,0.01859030645074584
15,0.06954803147486273,0.02491230812988106,0.018674123779471377
16,0.06735548249312805,0.023476905615201972,0.018054318567737888
17,0.06779529606657365,0.023246548790484618,0.017872843964557517
18,0.06511123494378153,0.02207761259549958,0.017726975539699142
19,0.06657605389399184,0.02276384732020748,0.01903787855324996
20,0.07164572642317836,0.026629053934344175,0.018067157108868817
21,0.06804586569113387,0.02346698799436641,0.018171744594084313
22,0.06741483626621105,0.02452331663308927,0.016772923801493374
23,0.06758697777986522,0.02315074298530812,0.018230038282594466
24,0.06960271229701377,0.024625405270074046,0.019825036125257562
25,0.06712024254458286,0.023490540324045035,0.01800510397047864
26,0.06847371113087444,0.02431809251595816,0.017843033825712496
27,0.0660655114267553,0.022568665724247643,0.017985695048368357
28,0.06696998210889948,0.023164758099509093,0.01770110735669727
29,0.06804181214954168,0.023915937263518525,0.01825192468240852
30,0.06682183268879135,0.02406284525059159,0.017284750619104883
31,0.06785514620797971,0.0242442980342145,0.018137007911822583
32,0.06693841059293061,0.023612671505127584,0.016881287337413807
33,0.07293063886463638,0.02749396680987302,0.01793499894972354
34,0.07088553745831758,0.02623216795868102,0.017918661529464325
35,0.07105563884334899,0.026317666484309044,0.018076223786920264
36,0.06541902199387545,0.021428104676306202,0.017933080358696785
37,0.06922046520880287,0.02473152085606536,0.017986439787117454
38,0.06777262490774899,0.02447292521329858,0.016560343007690093
39,0.06799602614981783,0.023637158589969735,0.017489406679357746
40,0.06463248958545066,0.021677149433110398,0.017430039641580363
41,0.06901856990797176,0.02474290874919717,0.017262121143617748
42,0.06701471800250662,0.02341748553860396,0.015931742066251323
43,0.06707831355077876,0.0235424870957753,0.017141397317339217
44,0.06759505258607008,0.023886020162275815,0.017233815227102975
45,0.06822479098503074,0.02368814331878504,0.01753286739279112
46,0.06798029110899989,0.02447468812045237,0.017853432621008525
47,0.06566196887620854,0.022713754525674198,0.016841100961235967
48,0.06693076262516631,0.023333250012780894,0.0175838645680674
49,0.06411098566438465,0.02137292266291162,0.01706743761897082
50,0.06881153365331032,0.025063094310462435,0.01781006686921626
51,0.06884382377777777,0.02454881531053351,0.017940842326996533
52,0.06149635362837992,0.020823176644210253,0.016167359426617577
53,0.06738453959780076,0.024023017061075947,0.017931655860905088
54,0.0642666675150394,0.021796281629108905,0.01760939434170718
55,0.06442715318075243,0.02167287696419013,0.016856381190674598
56,0.06655077370149745,0.022932406747713636,0.0169194651834134
57,0.06586045287549491,0.022873344332245797,0.017414791256721483
58,0.06556383360709457,0.022512148353936366,0.017261595125975304
59,0.06521515697240826,0.02230665522760574,0.01696246782583845
60,0.0650446197284119,0.022640043344082532,0.01748564001838007
61,0.0647710702781166,0.022657104262283827,0.016785258054733226
62,0.06751866117119786,0.023960497396598918,0.01759768341934037
63,0.06480144693383144,0.022394510252135097,0.017453241973583136
64,0.0655448287725448,0.022357637262237866,0.01772825282865332
65,0.06944782430572165,0.025340627040713982,0.01728509785607452
66,0.06596559711865013,0.02329184022465982,0.017200778877096475
67,0.06801499719066276,0.02347836219705636,0.018178472687889375
68,0.07027144232498743,0.02517755516871273,0.017052836549867428
69,0.06643014129783421,0.02270378119844407,0.016900161407621794
70,0.06731395199894902,0.02441821447573598,0.01720881417526725
71,0.06866127827337805,0.02372253502586054,0.01717406682936204
72,0.06370603122881476,0.0217280955985188,0.016546198472912776
73,0.06720126393650254,0.02323938235640521,0.01810876257451512
74,0.06829790840191495,0.024246166273951483,0.0168863250075706
75,0.06337987195168218,0.021422503176810437,0.01615894073620434
76,0.06432167488549431,0.0220814824769539,0.017174528046910206
77,0.06517222395965028,0.022430930366473496,0.017300859326496672
78,0.06765945489917478,0.023941796485866768,0.01713592320946706
79,0.06739199816116259,0.023702056905520765,0.01731462773334762
80,0.06860308301235944,0.025128932909241695,0.016845213162845755
81,0.06814612730273174,0.024798438491831887,0.01732548507861788
82,0.0691705868712493,0.02391315932784757,0.017927173471876504
83,0.06510560927646497,0.0232819340191781,0.016638283371659207
84,0.061267363067184125,0.019653763249516436,0.016670435440859575
85,0.06671960284667351,0.023995689395815093,0.0171378813417894
86,0.0668931491140808,0.023736099732507503,0.016960904527721615
87,0.06521542317100928,0.02285232971023231,0.016842991393059437
88,0.06610562466084953,0.02321664535307454,0.015605565499780382
89,0.06584276572934214,0.02245565796537054,0.017236795163314212
90,0.06569498011044089,0.022648829634168272,0.017040205447535383
91,0.06606456137129234,0.022371185477822964,0.016653825535571955
92,0.06585442594119476,0.022780062950083137,0.016767392653439676
93,0.062095908501318485,0.02043362979644106,0.016611763349335062
94,0.06584317221173215,0.022532506114137978,0.016929333849943065
95,0.06700990109571384,0.024460495489516385,0.016939068106668287
96,0.06470855884253975,0.022356740811041376,0.017150070904088828
97,0.06713606646018365,0.023644776535885623,0.017226083869380564
98,0.0642454055270978,0.022903855151629827,0.016570911722789867
99,0.06328851037791793,0.021027599890450232,0.01694565533128163
100,0.06597622148692604,0.023203377611935094,0.01641301650420891
101,0.06781915998352421,0.024904221801885486,0.01661316380569973
