Step,loss_L1_rank_6
1,0.07558123767375946
2,0.06674061715602875
3,0.08703356236219406
4,0.08809004724025726
5,0.059826575219631195
6,0.06082920357584953
7,0.09050966799259186
8,0.05135851725935936
9,0.06767135858535767
10,0.07881507277488708
11,0.06203628331422806
12,0.07410648465156555
13,0.062136996537446976
14,0.05950213596224785
15,0.06098292022943497
16,0.13371646404266357
17,0.05010046064853668
18,0.08612367510795593
19,0.07452147454023361
20,0.05733434110879898
21,0.09609244763851166
22,0.06855292618274689
23,0.07013790309429169
24,0.0697287917137146
25,0.07556349039077759
26,0.0582384318113327
27,0.04523375630378723
28,0.05711209028959274
29,0.05824451148509979
30,0.06151284649968147
31,0.07313254475593567
32,0.09797853231430054
33,0.09218474477529526
34,0.08750955760478973
35,0.09561052918434143
36,0.06708933413028717
37,0.0898788720369339
38,0.09428789466619492
39,0.06784725934267044
40,0.06853969395160675
41,0.05591621994972229
42,0.110527403652668
43,0.08807514607906342
44,0.05869872495532036
45,0.09706408530473709
46,0.06253731995820999
47,0.08062437176704407
48,0.07734476029872894
49,0.10056259483098984
50,0.07277292013168335
51,0.10477450489997864
52,0.08107144385576248
53,0.06934472173452377
54,0.07139205187559128
55,0.07419377565383911
56,0.0630439817905426
57,0.06730800867080688
58,0.04645514488220215
59,0.08424973487854004
60,0.07238122075796127
61,0.055934689939022064
62,0.06620947271585464
63,0.0781654492020607
64,0.05346636101603508
65,0.07267433404922485
66,0.05217687785625458
67,0.08333384990692139
68,0.06439060717821121
69,0.10399168729782104
70,0.12710803747177124
71,0.03995665907859802
72,0.07304595410823822
73,0.056254446506500244
74,0.05475825071334839
75,0.04866524785757065
76,0.0659329891204834
77,0.07167427241802216
78,0.10571014881134033
79,0.07532818615436554
80,0.05844200402498245
81,0.06544840335845947
82,0.09808596968650818
83,0.07340717315673828
84,0.062153421342372894
85,0.08584935963153839
86,0.07952975481748581
87,0.0599580779671669
88,0.05043068900704384
89,0.07027257978916168
90,0.07050196826457977
91,0.0556873083114624
92,0.0827658623456955
93,0.09912048280239105
94,0.08638469129800797
95,0.09107126295566559
96,0.06763555109500885
97,0.06183860823512077
98,0.088101327419281
99,0.09788618981838226
100,0.08074402809143066
101,0.05459332466125488
102,0.08508402109146118
103,0.0670292004942894
104,0.0753190666437149
105,0.06589092314243317
106,0.051243528723716736
107,0.043246008455753326
108,0.06086075305938721
109,0.07662612944841385
110,0.06401340663433075
111,0.07432679086923599
112,0.09676451981067657
113,0.0917639210820198
114,0.08784643560647964
115,0.053710222244262695
116,0.0833858847618103
117,0.045869603753089905
118,0.056952543556690216
119,0.054241977632045746
120,0.08956964313983917
121,0.11194408684968948
122,0.08100870251655579
123,0.07415452599525452
124,0.05774514749646187
125,0.0794767290353775
126,0.06390699744224548
127,0.08370179682970047
128,0.09029217064380646
129,0.08335752040147781
130,0.06538597494363785
131,0.07265152782201767
132,0.06524547934532166
133,0.05126119405031204
134,0.06981188803911209
135,0.056503310799598694
136,0.059362538158893585
137,0.06689658761024475
138,0.05673281475901604
139,0.04324180632829666
140,0.04755682125687599
141,0.06628845632076263
142,0.0620821937918663
143,0.07697403430938721
144,0.05759157985448837
145,0.05008523911237717
146,0.08447346836328506
147,0.0682791993021965
148,0.046668246388435364
149,0.07165642082691193
150,0.081407830119133
151,0.07684741169214249
152,0.06081041693687439
