Label,Mean_LPIPS,Mean_SSIM
BFMBM,0.5635101109743118,0.6556624
BFOBM,0.5511483550071716,0.6805406
BMMBM,0.5491190671920776,0.6675584
BMOBM,0.5723175406455994,0.6147917
SFMBM,0.5736102044582367,0.6426066
SFOBM,0.5772982954978942,0.6434285
SFOBF,0.5501102328300476,0.6366722
SFOSM,0.5641846388578415,0.67931354
SFOSF,0.549536970257759,0.65223235
