Label,Mean_LPIPS,Mean_SSIM
BFMBM,0.7132232546806335,0.37656274
BFOBM,0.7094087481498719,0.36935216
BMMBM,0.7245975434780121,0.3767075
BMOBM,0.711577731370926,0.335868
SFMBM,0.7075083553791046,0.34792435
SFOBM,0.7044041275978088,0.40853524
SFOBF,0.6773816466331481,0.3852478
SFOSM,0.7147147715091705,0.3879925
SFOSF,0.6996668338775635,0.39082703
